sku,product_name,slug,status,category,subcategory,description,selling_price_inr,mrp_inr,currency,fabric,embroidery,care_instructions,colour,size,stock_quantity,low_stock_threshold,weight_grams,length_cm,width_cm,height_cm,tax_classification,tax_rate_percent,source_catalog_url,source_instagram_url,source_post_url,operator_verified,notes
"HOP-SUI-001","Noor Ivory Aari Kurta Set","noor-ivory-aari-kurta-set","draft","Suit Sets","","Hand-finished Aari work","2499","3999","INR","Pure cotton","Aari","","Ivory","","","","","","","","","","","","","no","Demo placeholder product and pricing; replace or verify against the owner catalogue before activation."
"HOP-KUR-001","Gul Maroon Short Kurti","gul-maroon-short-kurti","draft","Kurtis","","Floral embroidery","1699","2199","INR","Breathable cotton","Floral embroidery","","Maroon","","","","","","","","","","","","","no","Demo placeholder product and pricing; replace or verify against the owner catalogue before activation."
"HOP-CRD-001","Siah Tulip Co-ord Set","siah-tulip-co-ord-set","draft","Co-ord Sets","","Two-piece set","2899","4499","INR","Cotton blend","","","","","","","","","","","","","","","","no","Demo placeholder product and pricing; replace or verify against the owner catalogue before activation."
"HOP-KAF-001","Ruh Black Aari Kaftan","ruh-black-aari-kaftan","draft","Kaftans","","Flowing fit with artisan embroidery","2199","3299","INR","","Aari","","Black","","","","","","","","","","","","","no","Demo placeholder product and pricing; replace or verify against the owner catalogue before activation."
"HOP-KUR-002","Zoon Navy Long Kurta","zoon-navy-long-kurta","draft","Kurtis","","Lace detailing","2775","3699","INR","Ruby cotton","Lace","","Navy","","","","","","","","","","","","","no","Demo placeholder product and pricing; replace or verify against the owner catalogue before activation."
"HOP-BAG-001","Bagh Crewel Tote","bagh-crewel-tote","draft","Bags","Tote","Hand crewel work","1799","2499","INR","Canvas","Crewel","","","","","","","","","","","","","","","no","Demo placeholder product and pricing; replace or verify against the owner catalogue before activation."
"HOP-STL-001","Koh-e-Noor Black Stole","koh-e-noor-black-stole","draft","Stoles","","Aari border","1499","2399","INR","Soft wool blend","Aari","","Black","","","","","","","","","","","","","no","Demo placeholder product and pricing; replace or verify against the owner catalogue before activation."
"HOP-KAF-002","Meher Mahogany Kaftan","meher-mahogany-kaftan","draft","Kaftans","","Relaxed silhouette with Aari vines","2599","3899","INR","","Aari","","Mahogany","","","","","","","","","","","","","no","Demo placeholder product and pricing; replace or verify against the owner catalogue before activation."
"HOP-BAG-002","Kashur Velvet Basket Bag","kashur-velvet-basket-bag","draft","Bags","Basket bag","Walnut wood handle","2299","3199","INR","Velvet","","","","","","","","","","","","","","","","no","Demo placeholder product and pricing; replace or verify against the owner catalogue before activation."
"HOP-STL-002","Aabshar Pashmina Stole","aabshar-pashmina-stole","draft","Stoles","","Fine weave with floral needlework","3499","4999","INR","Pashmina placeholder claim","Floral needlework","","","","","","","","","","","","","","","no","Demo placeholder product and pricing; fabric claim requires owner verification before activation."
