sku,image_order,image_filename,alt_text,source_page_url,source_asset_url,ownership_confirmed,download_status,operator_verified,notes
"HOP-SUI-001","1","","Noor Ivory Aari Kurta Set","https://houseofkari.in/cdn/shop/files/DSC09655-copy.jpg?v=1771922549&width=1500","https://houseofkari.in/cdn/shop/files/DSC09655-copy.jpg?v=1771922549&width=1500","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
"HOP-KUR-001","1","","Gul Maroon Short Kurti","https://houseofkari.in/cdn/shop/files/hok-6th-april2869.jpg?v=1776938923&width=1500","https://houseofkari.in/cdn/shop/files/hok-6th-april2869.jpg?v=1776938923&width=1500","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
"HOP-CRD-001","1","","Siah Tulip Co-ord Set","https://www.kashmirorigin.com/cdn/shop/files/31_5.jpg?v=1746523693","https://www.kashmirorigin.com/cdn/shop/files/31_5.jpg?v=1746523693","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
"HOP-KAF-001","1","","Ruh Black Aari Kaftan","https://www.kashmirorigin.com/cdn/shop/files/4_3_3f3cad95-bac6-43ec-956a-9343783fffc0.jpg?v=1744711145&width=1946","https://www.kashmirorigin.com/cdn/shop/files/4_3_3f3cad95-bac6-43ec-956a-9343783fffc0.jpg?v=1744711145&width=1946","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
"HOP-KUR-002","1","","Zoon Navy Long Kurta","https://houseofkari.in/cdn/shop/files/IMG_9240.jpg?v=1756988326&width=1500","https://houseofkari.in/cdn/shop/files/IMG_9240.jpg?v=1756988326&width=1500","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
"HOP-BAG-001","1","","Bagh Crewel Tote","https://media.gyawun.com/wp-content/uploads/2025/06/kashmiri-crewel-bag01-1.webp","https://media.gyawun.com/wp-content/uploads/2025/06/kashmiri-crewel-bag01-1.webp","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
"HOP-STL-001","1","","Koh-e-Noor Black Stole","https://zamourstore.com/cdn/shop/products/WomenKashmiriAariEmbroideryWoollenStoleBlack2_98133a72-9155-405d-aa50-4b435b17eece.jpg?v=1650304716","https://zamourstore.com/cdn/shop/products/WomenKashmiriAariEmbroideryWoollenStoleBlack2_98133a72-9155-405d-aa50-4b435b17eece.jpg?v=1650304716","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
"HOP-KAF-002","1","","Meher Mahogany Kaftan","https://cdn.exoticindia.com/images/products/original/salwarkameez/stq66.jpg","https://cdn.exoticindia.com/images/products/original/salwarkameez/stq66.jpg","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
"HOP-BAG-002","1","","Kashur Velvet Basket Bag","https://media.gyawun.com/wp-content/uploads/2025/01/Basket-bag-kashmiri-03.webp","https://media.gyawun.com/wp-content/uploads/2025/01/Basket-bag-kashmiri-03.webp","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
"HOP-STL-002","1","","Aabshar Pashmina Stole","https://www.pashminacouture.com/images/embroidered-pashmina-preview.jpg","https://www.pashminacouture.com/images/embroidered-pashmina-preview.jpg","no","remote_reference_only","no","Temporary demo reference; do not treat as a HOUSEOFPASHM-owned production asset."
